0,83392,67990
0,52429,67990
1,74093,67990
1,52429,67990
2,87225,1344
2,13851,1344
3,74093,67990
3,87334,67990
4,52429,67990
4,34489,67990
5,36940,62023
5,5184,62023
6,10604,62023
6,13686,62023
7,152,85492
7,63523,64482
8,61282,7947
8,50658,7947
9,24292,62023
9,42170,62023
10,43350,62023
10,78493,62023
11,8785,62023
11,52429,67990
12,39836,1344
12,87225,1344
13,5215,59785
13,81769,59785
14,46113,31291
14,65776,88301
15,22901,76578
15,24721,45548
16,70056,1344
16,8785,62023
17,12567,22859
17,66459,85492
18,74995,1344
18,65183,1344
19,93100,62023
19,4853,62023
20,84860,59785
20,75922,42336
21,74093,67990
21,2239,67990
22,53005,46973
22,83531,46973
23,21473,90974
23,36125,1344
24,35544,67990
24,31535,67990
25,13064,62023
25,5184,62023
26,61282,7947
26,55998,7947
27,47814,57588
27,87225,1344
28,42170,62023
28,24292,62023
29,66825,48015
29,67544,1251
30,13851,1344
30,39836,1344
31,3767,1344
31,19216,1344
32,74093,67990
32,52429,67990
33,8096,76339
33,38047,62023
34,81035,67990
34,64442,67990
35,29330,59496
35,30273,59496
36,13064,62023
36,5184,62023
37,42170,62023
37,38047,62023
38,29425,1344
38,55998,7947
39,87818,67990
39,16591,67990
40,72779,5337
40,20509,70390
41,58321,1344
41,74995,1344
42,58321,1344
42,74995,1344
43,74093,67990
43,52429,67990
44,4937,1344
44,25794,1344
45,4853,62023
45,11081,62023
46,24292,62023
46,44967,62023
47,8785,62023
47,42170,62023
48,64077,62023
48,34638,67990
49,61855,84860
49,91277,84860
50,74093,67990
50,87334,67990
51,42170,62023
51,36125,1344
52,65183,1344
52,74995,1344
53,74093,67990
53,34489,67990
54,52429,67990
54,76814,24702
55,44213,67990
55,23060,67990
56,34808,30329
56,93916,30329
57,24292,62023
57,87421,91595
58,55754,71989
58,49921,71989
59,82626,67990
59,26545,67990
60,83392,67990
60,34489,67990
61,56926,88757
61,32440,3918
62,39836,1344
62,93916,30329
63,2690,18466
63,55631,50272
64,49196,56956
64,29425,1344
65,75132,65195
65,33675,3918
66,23231,77163
66,66540,65367
67,83392,67990
67,70242,24702
68,61282,7947
68,50658,7947
69,65183,1344
69,4937,1344
70,24292,62023
70,42170,62023
71,65183,1344
71,37000,76578
72,74093,67990
72,64436,67990
73,54556,62023
73,82924,62023
74,74093,67990
74,64436,67990
75,62023,26364
75,67990,81688
76,4853,62023
76,35544,67990
77,24292,62023
77,42170,62023
78,36337,59496
78,36125,1344
79,47302,46973
79,53005,46973
80,82287,67990
80,24732,84860
81,65183,1344
81,39836,1344
82,24292,62023
82,13064,62023
83,87225,1344
83,63403,7947
84,10230,92366
84,5269,35865
85,24292,62023
85,69754,419
86,53005,46973
86,87225,1344
87,83392,67990
87,25029,67990
88,74093,67990
88,63403,7947
89,23060,67990
89,52429,67990
90,60292,82044
90,8417,11566
91,65183,1344
91,58321,1344
92,23060,67990
92,34281,67990
93,24292,62023
93,13064,62023
94,43350,62023
94,42170,62023
95,34916,39999
95,12513,62023
96,87334,67990
96,81035,67990
97,24292,62023
97,5184,62023
